address_title,address_type,address_line1,address_line2,city,state,country,pincode,is_primary_address,is_shipping_address,gstin,gst_category,links.link_doctype,links.link_name
SHREE SHIV TRANSPORT,Billing,"259, AMITNGAR, VIP ROAD","KARELIBAG, VADODARA - 390018, GUJARAT",VADODARA,Gujarat,India,390018,1,1,24ABBFS1621B1ZY,Registered Regular,Supplier,IMP-20260324-SUP-0002
VARUN ROADWAYS,Billing,"5, SHREERANG SOCIETY","OPP, CONVENT SCHOOL, FATEHGUNJ, VADODARA",VADODARA,,India,,1,1,,Unregistered,Supplier,IMP-20260324-SUP-0004
GULJAG INDUSTRIES LTD.,Billing,"1-B, SMALL SCALE IND.ESTATE","OPP:- SANJAY NAGAR NEW BUS STAND, NEAR BPCL PETROL PUMP, KOTA (RAJASTHAN)",KOTA,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0001
THE LEELA CORPORATION,Billing,"4TH FLOOR, E-403 SG BUSINESS HUB","SG HIGHWAY ROAD, AHMEDABAD-380007",AHMEDABAD,Gujarat,India,380007,1,1,24BVTPP5909A1ZF,Registered Regular,Customer,IMP-20260324-CUST-0002
ABHISHEK ACID & CHEMICALS,Billing,BHARAT COMPLEX,"COLLEGE ROAD, BHILWARA, RAJASTHAN - 311001",BHILWARA,Rajasthan,India,311001,1,1,08AFBPS8362R1ZI,Registered Regular,Customer,IMP-20260324-CUST-0003
DEEPAK NITRITE LTD. NANDESARI,Billing,"4/12, GIDC CHEMICAL COMPLEX","NANDESARI, VADODARA-391340, GUJARAT","DEEPAK NIT, NANDESARI",Gujarat,India,391340,1,1,24AAACD7468A1ZZ,Registered Regular,Customer,IMP-20260324-CUST-0004
PANOLI INTERMEDIATES (I) PVT LTD,Billing,"PLOT NO. 157-159, 5-5A, GIDC","NANDESARI - 391340, VADODARA","PANOLI INT , NANDESARI",Gujarat,India,391340,1,1,24AABCP4665N1Z2,Registered Regular,Customer,IMP-20260324-CUST-0005
GUJRAT MAHARASHTRA ROADWAYS,Billing,"JALARAM ESTATE, NR. CHHANI-DUMAD-CHOKDI","N.H.NO. 8 POST: DUMAD, DIST: VADODARA-391740",VADODARA,,India,391740,1,1,,Unregistered,Customer,IMP-20260324-CUST-0006
SHREE PUSHKAR CHEMICALS AND FERTILISERS LTD.,Billing,"UNIT-1B, -102/103, MIDC LOTE PARSHURAM","TAL-KHED INDL.AREA, DIST:-RATNAGIRI-415722., MAHARASHTRA","TAL-KHED INDL.AREA,DIST:-RATNAGIRI",Maharashtra,India,415722,1,1,27AAACS9372E1Z7,Registered Regular,Customer,IMP-20260324-CUST-0007
SPAIN SURFACTANT INDUSTRIES,Billing,SABAR DAIRY TALOD ROAD,"NR. PASUSAVARDHAN KENDRA, HIMATNAGAR",HIMMATNAGAR,Gujarat,India,,1,1,24ACBFS7833C1ZC,Registered Regular,Customer,IMP-20260324-CUST-0008
TULSI DYE CHEM PVT. LTD.,Billing,"401, ATPAracade, 4th Floor","Opp, National Handloom, Off C.G Road, Law Garden, Ellisbridge, Ahmedabad - 380006",AHMEDABAD.,Gujarat,India,380006,1,1,24AABCT6769P1ZL,Registered Regular,Customer,IMP-20260324-CUST-0009
SHIVAM ENVIRO,Billing,16/MATRUCHHAYA SOC.,"GANNA MOGRI ROAD, MOGRI, VIDYANAGAR, Anand-388120",ANAND,Gujarat,India,388120,1,1,24DJIPP3046R1ZL,Registered Regular,Customer,IMP-20260324-CUST-0010
BANKE BIHARI ENTERPRISES,Billing,NEAR LALJI MANDIR,"SHRIMALIYO KA CHOWK, BALOTRA-344022",BALOTRA,Rajasthan,India,344022,1,1,08AFGPM7692K1ZQ,Registered Regular,Customer,IMP-20260324-CUST-0011
SHREE PUSHKAR PHOSCHEM PVT LTD,Billing,"VILLAGE: LADANA, TEHSHIL: MAVLI","UDAIPUR, RAJASTHAN-313001",UDAIPUR UNIT,Rajasthan,India,313001,1,1,08AAACW9947K1ZL,Registered Regular,Customer,IMP-20260324-CUST-0012
HARSH ORGANO CHEM (INDIA) PVT. LTD,Billing,"PLOT.NO. 2207, PHASE-IV, GIDC ESTATE","NR. RAMOL CHOWKDI, VATVA, AHMEDABAD-382445",AHMEDABAD.,Gujarat,India,382445,1,1,24AABCH3512N1ZQ,Registered Regular,Customer,IMP-20260324-CUST-0013
