source_row,suggested_doctype,reason,PartyName,PartyRole,PartyAlias,Address1,Address2,Address3,Address4,PlaceName,GSTNo,PANNo,AccCode
3,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",Tools Verification,STORE,,,,,,,,,
146,Account,This role looks like a ledger or account head rather than a party master.,Transport Sales,Income Head,Transport Sales,,,,,VADODARA,,,Transport Sales
221,Account,This role looks like a ledger or account head rather than a party master.,DIESEL ADVANCE,Trip Expense Ledger,DIESEL ADVANCE,,,,,,,,DIESEL - TANKER
222,Account,This role looks like a ledger or account head rather than a party master.,TRIP ADVANCE,Trip Expense Ledger,TRIP ADVANCE,,,,,,,,TRIP ADVANCE
231,Account,This role looks like a ledger or account head rather than a party master.,FUEL EXPENSES,Expense,FUEL EXPENSES,,,,,,,,FUEL EXPENSES
235,Manual Review,No safe default ERPNext master mapping was inferred.,Appolo,Tyre Manufacturer,Appolo,,,,,,,,Appolo
240,Manual Review,No safe default ERPNext master mapping was inferred.,CEAT TYRE,Tyre Manufacturer,CEAT TYRE,,,,,VADODARA,,,CEAT TYRE
241,Account,This role looks like a ledger or account head rather than a party master.,TANKER TYRE (28%),Expense,TANKER TYRE (28%),,,,,VADODARA,,,TANKER TYRE (28%)
242,Manual Review,No safe default ERPNext master mapping was inferred.,INNOVATIVE TYRES,Tyre Manufacturer,INNOVATIVE TYRES,,,,,VADODARA,,,INNOVATIVE TYRES
243,Manual Review,No safe default ERPNext master mapping was inferred.,MICHELIN,Tyre Manufacturer,MICHELIN,,,,,,,,MICHELIN
246,Manual Review,No safe default ERPNext master mapping was inferred.,NG ECO,Tyre Manufacturer,,,,,,,,,NG ECO
247,Manual Review,No safe default ERPNext master mapping was inferred.,JK TYRES,Tyre Manufacturer,,,,,,,,,JK TYRES
248,Manual Review,No safe default ERPNext master mapping was inferred.,MRF,Tyre Manufacturer,MRF,,,,,,,,MRF
249,Manual Review,No safe default ERPNext master mapping was inferred.,APOLLO TYRES,Tyre Manufacturer,,,,,,,,,APOLLO TYRES
251,Manual Review,No safe default ERPNext master mapping was inferred.,INNOVATIVE,Tyre Manufacturer,,,,,,,,,INNOVATIVE
252,Manual Review,No safe default ERPNext master mapping was inferred.,BRIDGESTONE,Tyre Manufacturer,BRIDGESTONE,,,,,,,,BRIDGESTONE
255,Manual Review,No safe default ERPNext master mapping was inferred.,VIKRANT,Tyre Manufacturer,,,,,,,,,VIKRANT
256,Account,This role looks like a ledger or account head rather than a party master.,TOLL TAX,Expense,TOLL TAX,,,,,VADODARA,,,TOLL TAX
258,Account,This role looks like a ledger or account head rather than a party master.,CASH BACK - FAST TAG TOLL,Account Group,CASH BACK - FAST TAG TOLL,,,,,VADODARA,,,CASH BACK - FAST TAG TOLL
260,Account,This role looks like a ledger or account head rather than a party master.,TANKER PARTS,Expense,TANKER PARTS,,,,,,,,TANKER PARTS
261,Account,This role looks like a ledger or account head rather than a party master.,T.D.S.,Tax Receivable,T.D.S.,,,,,,,,T.D.S.
262,Vehicle,Source row does not include the required ERPNext Vehicle fields.,N/A,Vehicle,N/A,,,,,,,,N/A
297,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",VA TECH VENTURES PVT LTD.,BRANCH,VA TECH VENTURES PVT LTD.,,,,,KARNATAKA,29AAECV1948B2ZB,AAECV1948B,VA TECH VENTURES PVT LTD.
321,Account,This role looks like a ledger or account head rather than a party master.,SHREE SHIV AGRO - BARODA(TOLL),Expense,SHREE SHIV AGRO - BARODA(TOLL),,,,,VADODARA,24ACAPP8076D1ZO,ACAPP8076D,SHREE SHIV AGRO - BARODA
326,Vehicle,Source row does not include the required ERPNext Vehicle fields.,.,Vehicle,.,,,,,,24AABCN8697C1ZB,AABCN8697C,.
328,Manual Review,This row is incomplete and needs manual cleanup.,0,Operator,0,,,,,VADODARA,,,0
329,Account,This role looks like a ledger or account head rather than a party master.,INTEREST EXP,Interestaccount,INTEREST EXP,,,,,VADODARA,,,INTEREST EXP
330,Account,This role looks like a ledger or account head rather than a party master.,Loan Account,Loanaccount,Loan Account,,,,,VADODARA,,,Loan Account
334,Account,This role looks like a ledger or account head rather than a party master.,MIS. OFFICE EXP,Expense,MIS. OFFICE EXP,,,,,VADODARA,,,MIS. OFFICE EXP
345,Account,This role looks like a ledger or account head rather than a party master.,CITI BANK - BT-7290,Loanaccount,CITI BANK - BT-7290,,,,,VADODARA,,,CITI BANK - BT-7290
346,Account,This role looks like a ledger or account head rather than a party master.,CITI BANK - BT-6588,Loanaccount,CITI BANK - BT-6588,,,,,VADODARA,,,CITI BANK - BT-6588
356,Account,This role looks like a ledger or account head rather than a party master.,Output SGST,Income Head,,,,,,,,,SGST
357,Account,This role looks like a ledger or account head rather than a party master.,CGST 6%,Income Head,,,,,,,,,CGST @ 6%
358,Account,This role looks like a ledger or account head rather than a party master.,IGST 18%,Income Head,,,,,,,,,IGST @ 12%
381,Account,This role looks like a ledger or account head rather than a party master.,INSURANCE EXP,Expense,INSURANCE EXP,,,,,,,,INSURANCE EXP
385,Account,This role looks like a ledger or account head rather than a party master.,Deduction Ledger,Deduction Ledger,Deduction Ledger,,,,,,,,Deduction Ledger
387,Account,This role looks like a ledger or account head rather than a party master.,SHORTAGE EXP,Deduction Ledger,SHORTAGE EXP,,,,,VADODARA,,,SHORTAGE EXP
417,Account,This role looks like a ledger or account head rather than a party master.,Round Off,Income Head,Round Off,,,,,,,,Round Off
465,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",DRIVER SALARY,BRANCH,DRIVER SALARY,,,,,VADODARA,,,DRIVER SALARY
478,Account,This role looks like a ledger or account head rather than a party master.,BANK CHARGES,Expense,BANK CHARGES,,,,,,,,BANK CHARGES
479,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",SHREE SHIV TRANSPORT.,BRANCH,SHREE SHIV TRANSPORT.,,,,,,,,SHREE SHIV TRANSPORT
482,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",CASH,BRANCH,CASH,,,,,,,,CASH
486,Account,This role looks like a ledger or account head rather than a party master.,TRANSPORT CHARGES PAID (6%),Hire Purchase Account,TRANSPORT CHARGES PAID (6%),,,,,,,,TRANSPORT CHARGES PAID (6%)
513,Account,This role looks like a ledger or account head rather than a party master.,P.U.C EXP,Expense,P.U.C EXP,,,,,VADODARA,,,P.U.C EXP
529,Manual Review,No safe default ERPNext master mapping was inferred.,BIRLA,Tyre Manufacturer,BIRLA,,,,,VADODARA,,,BIRLA
530,Account,This role looks like a ledger or account head rather than a party master.,DIESEL - TANKER,Expense,DIESEL - TANKER,,,,,,,,DIESEL - TANKER
531,Account,This role looks like a ledger or account head rather than a party master.,RATE DIFFRANCE,Deduction Ledger,RATE DIFFRANCE,,,,,,,,RATE DIFFRANCE
541,Account,This role looks like a ledger or account head rather than a party master.,PRINTING & STATIONARY EXP A/C.,Expense,PRINTING & STATIONARY EXP A/C.,,,,,,,,PRINTING & STATIONARY EXP A/C.
559,Account,This role looks like a ledger or account head rather than a party master.,MATERIAL SHORTAGE.,Income Head,MATERIAL SHORTAGE.,,,,,,,,MATERIAL SHORTAGE
587,Account,This role looks like a ledger or account head rather than a party master.,FITNESS,Expense,FITNESS,,,,,,,,FITNESS
588,Account,This role looks like a ledger or account head rather than a party master.,CHEMICAL CARD,Expense,CHEMICAL CARD,,,,,,,,CHEMICAL CARD
589,Account,This role looks like a ledger or account head rather than a party master.,A.I.P,Expense,A.I.P,,,,,,,,A.I.P
590,Account,This role looks like a ledger or account head rather than a party master.,T.C,Expense,T.C,,,,,,,,T.C
591,Account,This role looks like a ledger or account head rather than a party master.,G.P,Expense,G.P,,,,,,,,G.P
603,Account,This role looks like a ledger or account head rather than a party master.,TOLL TAX EXP,Expense,TOLL TAX EXP,,,,,VADODARA,,,TOLL TAX EXP
607,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",TDS DEDUCTED,BRANCH,TDS DEDUCTED,,,,,,,,TDS DEDUCTED
640,Account,This role looks like a ledger or account head rather than a party master.,RTO TAX,Expense,RTO TAX,,,,,,,,RTO TAX PASSING & N.PERMIT EXP
667,Account,This role looks like a ledger or account head rather than a party master.,HDFC BANK LTD. - GJ-01-DX-7499,Loanaccount,HDFC BANK LTD. - GJ-01-DX-7499,,,,,,,,HDFC BANK LTD. - GJ-01-DX-7499
668,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",HDFC BANK LTD. - GJ-01-DX7599,Buyer,HDFC BANK LTD. - GJ-01-DX7599,,,,,,,,HDFC BANK LTD. - GJ-01-DX-7599
679,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",CAPITAL - MITESH PATEL,Buyer,CAPITAL - MITESH PATEL,,,,,GUJARAT,,,CAPITAL - MITESH PATEL
681,Account,This role looks like a ledger or account head rather than a party master.,AMERICAN EXPRESS CREDIT CARD,Cash/Bank,AMERICAN EXPRESS CREDIT CARD,,,,,GUJARAT,,,AMERICAN EXPRESS CREDIT CARD
685,Account,This role looks like a ledger or account head rather than a party master.,CGST-repair,GST Ledger,CGST-repair,,,,,,,,CGST @
686,Account,This role looks like a ledger or account head rather than a party master.,SGST-repair,GST Ledger,SGST-repair,,,,,,,,SGST @
687,Account,This role looks like a ledger or account head rather than a party master.,IGST-repair,GST Ledger,IGST-repair,,,,,,,,IGST @
688,Account,This role looks like a ledger or account head rather than a party master.,TANKER PARTS 28%,Expense,TANKER PARTS 28%,,,,,,,,TANKER PARTS
689,Account,This role looks like a ledger or account head rather than a party master.,ICICI BANK LTD - MSME LOAN,Loanaccount,ICICI BANK LTD - MSME LOAN,,,,,GUJARAT,,,ICICI BANK LTD - MSME LOAN
692,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",CAPITAL - RIKESH C. PATEL,Buyer,CAPITAL - RIKESH C. PATEL,,,,,,,,CAPITAL - RIKESH C. PATEL
694,Account,This role looks like a ledger or account head rather than a party master.,TANKER MIS. REP & MAINT EXP,Expense,TANKER MIS. REP & MAINT EXP,,,,,GUJARAT,,,TANKER MIS. REP & MAINT EXP
701,Account,This role looks like a ledger or account head rather than a party master.,TDS - 94A,TDS Payable,TDS - 94A,,,,,GUJARAT,,,TDS - 94A
702,Account,This role looks like a ledger or account head rather than a party master.,TDS - 94C,TDS Payable,TDS - 94C,,,,,GUJARAT,,,TDS - 94C
703,Account,This role looks like a ledger or account head rather than a party master.,PROFESSIONAL TAX,Tax Payable,PROFESSIONAL TAX,,,,,GUJARAT,,,PROFESSIONAL TAX
715,Account,This role looks like a ledger or account head rather than a party master.,TANKER PARTS EXP A/C.,Expense,TANKER PARTS EXP A/C.,,,,,,,,TANKER PARTS EXP A/C.
716,Account,This role looks like a ledger or account head rather than a party master.,TANKER TANK PURCHASE,Expense,TANKER TANK PURCHASE,,,,,,,,TANKER TANK PURCHASE
717,Account,This role looks like a ledger or account head rather than a party master.,CGST-TYRE,GST Ledger,CGST-TYRE,,,,,,,,CGST @
718,Account,This role looks like a ledger or account head rather than a party master.,SGST-Tyre,GST Ledger,,,,,,,,,SGST @
719,Account,This role looks like a ledger or account head rather than a party master.,IGST - Tyre,GST Ledger,,,,,,,,,IGST @
720,Manual Review,No safe default ERPNext master mapping was inferred.,SUN FULL,Tyre Manufacturer,SUN FULL,,,,,VADODARA,,,SUN FULL
721,Account,This role looks like a ledger or account head rather than a party master.,TANKER MIS REP & MAINT,Expense,TANKER MIS REP & MAINT,,,,,,,,TANKER MIS REP & MAINT
723,Account,This role looks like a ledger or account head rather than a party master.,RENT OF USAGE & WEB ACCESS CHARGES,Expense,RENT OF USAGE & WEB ACCESS CHARGES,,,,,,,,RENT OF USAGE & WEB ACCESS CHARGES
731,Account,This role looks like a ledger or account head rather than a party master.,COMPUTER REP. EXP,Expense,COMPUTER REP. EXP,,,,,VADODARA,,,COMPUTER REP. EXP
732,Account,This role looks like a ledger or account head rather than a party master.,CAR PARTS EXPENSES (28%),Expense,CAR PARTS EXPENSES (28%),,,,,VADODARA,,,CAR PARTS EXPENSES (28%)
733,Account,This role looks like a ledger or account head rather than a party master.,TANKER PARTS (IGST),Expense,TANKER PARTS (IGST),,,,,RAJASTHAN,,,TANKER PARTS (IGST)
734,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",VODAFONE NO. 9427146651,Company,VODAFONE NO. 9427146651,,,,,,,,VODAFONE NO. 9427146651
737,Account,This role looks like a ledger or account head rather than a party master.,D. M. PATEL (SALARY A/C.),Account Group,D. M. PATEL (SALARY A/C.),,,,,,,,D. M. PATEL (SALARY A/C.)
738,Account,This role looks like a ledger or account head rather than a party master.,F. R. PATEL (SALRY A/C.),Account Group,F. R. PATEL (SALRY A/C.),,,,,,,,F. R. PATEL (SALRY A/C.)
739,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",BSNL 2482591,Vendor,BSNL 2482591,,,,,,,,BSNL 2482591
740,Account,This role looks like a ledger or account head rather than a party master.,STATIONART EXP A/C 18%,Expense,STATIONART EXP A/C 18%,,,,,VADODARA,,,STATIONART EXP A/C 18%
743,Account,This role looks like a ledger or account head rather than a party master.,Hold Amount,Deduction Ledger,Hold Amount,,,,,,,,Hold Amount
744,Account,This role looks like a ledger or account head rather than a party master.,YES BANK LTD. - BT - 8099,Loanaccount,YES BANK LTD. - BT - 8099,,,,,,,,YES BANK LTD. - BT - 8099
745,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",VEHICLE DISCOUNT (28%),BRANCH,VEHICLE DISCOUNT (28%),,,,,,,,VEHICLE DISCOUNT (28%)
746,Account,This role looks like a ledger or account head rather than a party master.,MEDICAL EXP,Expense,MEDICAL EXP,,,,,VADODARA,,,MEDICAL EXP
748,Account,This role looks like a ledger or account head rather than a party master.,GST CASH LEDGER,GST Ledger,GST CASH LEDGER,,,,,,,,GST CASH LEDGER
749,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK LTD. - GJ-12-BY-2999,Loanaccount,AXIS BANK LTD. - GJ-12-BY-2999,,,,,,,,AXIS BANK LTD. - GJ-12-BY-2999
750,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - AV - 4299,Loanaccount,KOTAK MAHINDRA BANK - AV - 4299,,,,,,,,KOTAK MAHINDRA BANK - AV - 4299
751,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - AV - 4899,Loanaccount,KOTAK MAHINDRA BANK - AV - 4899,,,,,,,,KOTAK MAHINDRA BANK - AV - 4899
752,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - AV - 6381,Loanaccount,KOTAK MAHINDRA BANK - AV - 6381,,,,,,,,KOTAK MAHINDRA BANK - AV - 6381
753,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - AV - 7281,Loanaccount,KOTAK MAHINDRA BANK - AV - 7281,,,,,,,,KOTAK MAHINDRA BANK - AV - 7281
754,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - AV - 5481,Loanaccount,KOTAK MAHINDRA BANK - AV - 5481,,,,,,,,KOTAK MAHINDRA BANK - AV - 5481
770,Account,This role looks like a ledger or account head rather than a party master.,VARUN ROADWAYS [EXPENSE,Expense,VARUN ROADWAYS,,,,,,,,VARUN ROADWAYS
771,Account,This role looks like a ledger or account head rather than a party master.,MAHINDRA FINANCE - AZ 5099,Loanaccount,MAHINDRA FINANCE - AZ 5099,,,,,,,,MAHINDRA FINANCE - AZ 5099
