level,source_row,route_name,issue,details
warning,,,Missing distance data in source,"All generated Trip Route rows use `Total Distance (km) = 0` because the workbook only contains RouteKey, RouteFrom, and RouteTo. Update distances after import if they are needed for downstream fuel or costing logic."
info,384,BODAL UNIT-1 AMD - - BODAL UNIT-1 AMD,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,415,BODAL-PADRA - - BODAL-PADRA,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,537,CHEMICAL ENTERPRISES-AKALTARA - - NAVBHARAT EXPLOSIVE-RAIPUR,Duplicate route row,"Skipped exact duplicate of an earlier row with the same RouteKey, RouteFrom, and RouteTo."
info,538,CHEMICAL ENTERPRISES-AKALTARA - - RAJASTAN EXPOLSIVES & CHEMICAL LTD-DHOLPUR,Duplicate route row,"Skipped exact duplicate of an earlier row with the same RouteKey, RouteFrom, and RouteTo."
info,539,CHEMICAL ENTERPRISES-AKALTARA - - RASAYAN UDYOG-DHANBAD,Duplicate route row,"Skipped exact duplicate of an earlier row with the same RouteKey, RouteFrom, and RouteTo."
info,550,CIL -NANDESARI - - CIL -NANDESARI,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,598,D.F.P.C.L.-DAHEJ - - D.F.P.C.L.-DAHEJ,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,604,D.F.P.C.L.-DAHEJ - - DAS AGRI FOOD PRODUCTS (U.P.),Duplicate route row,"Skipped exact duplicate of an earlier row with the same RouteKey, RouteFrom, and RouteTo."
warning,739,D.F.P.C.L.-TALOJA - - CHEMCAL ENTERPRISES-AKALTARA,Missing route endpoint,Skipped because both RouteFrom and RouteTo are required to build a two-step route.
info,792,"DEEPAK NIT, NANDESARI - - DEEPAK NIT, NANDESARI",Origin and destination are the same,"Imported as provided, but this route may need business review."
info,884,GACL-BARODA - - GACL-BARODA,Origin and destination are the same,"Imported as provided, but this route may need business review."
warning,1115,"GNFC,. BHARUCH - - YOGESHWAR-NAROL-A.BAD",Missing route endpoint,Skipped because both RouteFrom and RouteTo are required to build a two-step route.
info,1319,HZL-DEBARI - - HZL-DEBARI,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,1510,KCIL-GANDHAIDHAM - - RUCHI PETRO PLAST-DAHEJ,Duplicate route row,"Skipped exact duplicate of an earlier row with the same RouteKey, RouteFrom, and RouteTo."
info,1557,KRISHNA CHEMICALS-WAIDHAN-M.P. - - KRISHNA CHEMICALS-WAIDHAN-M.P.,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,1705,"NAVIN FLOURIN,SURAT - - NAVIN FLOURIN,SURAT",Origin and destination are the same,"Imported as provided, but this route may need business review."
info,1907,"PANOLI INT , NANDESARI - - PANOLI INT , NANDESARI",Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2046,PHARMA INTER CHEMIE-NANDESARI - - PHARMA INTER CHEMIE-NANDESARI,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2061,R.S.P.L.-RAIPUR - - R.S.P.L.-RAIPUR,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2065,RAIPUR - - RAIPUR,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2245,ROHAN CHEMICAL KHAMBHAT - - ROHAN CHEMICAL KHAMBHAT,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2515,SRF LTD BHIWADI - - SRF LTD BHIWADI,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2522,STEAM CHARGES - - STEAM CHARGES,Origin and destination are the same,"Imported as provided, but this route may need business review."
info,2523,STEAM CHARGIS - - STEAM CHARGIS,Origin and destination are the same,"Imported as provided, but this route may need business review."
