source_row,route_name,route_from,route_to,status,notes
2,3F INDUSTRIES LTD-A.P - - DEEP CHAND ARYA IND-NEW DELHI,3F INDUSTRIES LTD-A.P,DEEP CHAND ARYA IND-NEW DELHI,imported,Total Distance (km) set to 0 because source file does not include distance data.
3,A.P.L. BHUJ - - BIRLA-DAHEJ,A.P.L. BHUJ,BIRLA-DAHEJ,imported,Total Distance (km) set to 0 because source file does not include distance data.
4,A.P.L. BHUJ - - DEEPAK ACID & CHEM-KUTCH,A.P.L. BHUJ,DEEPAK ACID & CHEM-KUTCH,imported,Total Distance (km) set to 0 because source file does not include distance data.
5,A.P.L. BHUJ - - HZL-DARIBA,A.P.L. BHUJ,HZL-DARIBA,imported,Total Distance (km) set to 0 because source file does not include distance data.
6,AADITYAA PROTEIN-NAGPUR - - PANKAJ IMPEX-RAJNANDGAON,AADITYAA PROTEIN-NAGPUR,PANKAJ IMPEX-RAJNANDGAON,imported,Total Distance (km) set to 0 because source file does not include distance data.
7,AAK INDIA PVT-KHOPOLI. (M.H.) - - CHEMEX OIL-SOLAN-BADDI,AAK INDIA PVT-KHOPOLI. (M.H.),CHEMEX OIL-SOLAN-BADDI,imported,Total Distance (km) set to 0 because source file does not include distance data.
8,AAP CHEM PVT LTD-BRD - - SUPER ACID & CHEMICAL-DELHI,AAP CHEM PVT LTD-BRD,SUPER ACID & CHEMICAL-DELHI,imported,Total Distance (km) set to 0 because source file does not include distance data.
9,AAP CHEM-SAYAKHA-BHARUCH - - ASIAN CHEMICALS-JODHPUR,AAP CHEM-SAYAKHA-BHARUCH,ASIAN CHEMICALS-JODHPUR,imported,Total Distance (km) set to 0 because source file does not include distance data.
10,AARTI IND.-JHAGADIA - - BLUE PHOSPHATE LTD-UDAIPUR,AARTI IND.-JHAGADIA,BLUE PHOSPHATE LTD-UDAIPUR,imported,Total Distance (km) set to 0 because source file does not include distance data.
11,AARTI IND.-JHAGADIA - - M.B.AGRO.PROD.LTD-SAGAR,AARTI IND.-JHAGADIA,M.B.AGRO.PROD.LTD-SAGAR,imported,Total Distance (km) set to 0 because source file does not include distance data.
12,AARTI IND.-JHAGADIA - - SHREE PUSHKAR PHOS CHEM-UDAIPUR,AARTI IND.-JHAGADIA,SHREE PUSHKAR PHOS CHEM-UDAIPUR,imported,Total Distance (km) set to 0 because source file does not include distance data.
