Description,"Location (Latitude, Longitude)",Is Local Border,Is International Border
3F INDUSTRIES LTD-A.P,,0,0
DEEP CHAND ARYA IND-NEW DELHI,,0,0
A.P.L. BHUJ,,0,0
BIRLA-DAHEJ,,0,0
DEEPAK ACID & CHEM-KUTCH,,0,0
HZL-DARIBA,,0,0
AADITYAA PROTEIN-NAGPUR,,0,0
PANKAJ IMPEX-RAJNANDGAON,,0,0
AAK INDIA PVT-KHOPOLI. (M.H.),,0,0
CHEMEX OIL-SOLAN-BADDI,,0,0
AAP CHEM PVT LTD-BRD,,0,0
SUPER ACID & CHEMICAL-DELHI,,0,0
AAP CHEM-SAYAKHA-BHARUCH,,0,0
ASIAN CHEMICALS-JODHPUR,,0,0
AARTI IND.-JHAGADIA,,0,0
BLUE PHOSPHATE LTD-UDAIPUR,,0,0
M.B.AGRO.PROD.LTD-SAGAR,,0,0
SHREE PUSHKAR PHOS CHEM-UDAIPUR,,0,0
UDAIPUR UNIT,,0,0
AARTISURFACT-ANTS-SILVASSA,,0,0
KEMIT CHEMICALS PVT LTD-AHMEDABAD,,0,0
ABHISHEK CHEMICAL PANOLI-ANK,,0,0
M.BHARAT AGRO-SAGAR(M.P),,0,0
ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR,,0,0
NEEV BIOCHEM PVT. LTD.-PUNE,,0,0
PUNE-(M.H.),,0,0
SAP OLEO CHEM PVT LTD-KURKUMBH-M.H,,0,0
ADANI HAZIRA-SURAT,,0,0
"GNFC,. BHARUCH",,0,0
GODHREJ CONSUMER PRODUCTS-MALANPUR(M.P),,0,0
INDIAN PHOS LTD-UDAIPUR,,0,0
ADANI PETROCHEMICAL-KANDLA,,0,0
ARORA POLYFAB INDIA-BAHADURGARH,,0,0
ZELIANT INDUSTRIES,,0,0
ADANI POWER-JHARKHAND,,0,0
DISCON SALES PVT. LTD-HOWRAH,,0,0
ADANI WILMAR LTD-HALDIA(W.B),,0,0
VIJAY SOLVEX LTD-ALWAR,,0,0
ADANI WILMAR LTD-HAZIRA,,0,0
ADANI WILMAR LTD-MUNDRA,,0,0
SHREENIDHI OIL & FOODS-INDORE,,0,0
ADANI-MUNDRA,,0,0
AEGIS VOPAK TERMI-HALDIA,,0,0
JAJPUR,,0,0
"JINDAL ST.STEEL-JAJPUR,ORISSA",,0,0
AEGIS VOPAK TERMINAL LTD-HALDIA,,0,0
JINDALSTAINLESS LTD-ODISHA,,0,0
NAGPUR,,0,0
RUDRAKSHA ALLIED CHEM PVT LTD-NAGPUR (M.H),,0,0
SHIVAM NITRATE PVT LTD.-NAGPUR,,0,0
AEGIS VOPAK TERMINAL LTD-KANDLA,,0,0
A.R.BHANDARI-INDORE,,0,0
ABHISHEK ACID & CHEM-BHILWARA,,0,0
ACCOOCIATED DYESTUFF-SAYKHA,,0,0
ACETOCHEM-SURAT,,0,0
AHMEDABAD.,,0,0
AKSHAR CHEM INDIA-MEHSANA,,0,0
AKSHAY CHEMICALS-ANK,,0,0
AKSHAY CHEMIX-PADRA,,0,0
ARKON INDUSTRIES-VADODARA,,0,0
ASSOCIATED DYE STUFF-VAGRA,,0,0
BHAGERIA IND LIMITED-TARAPUR,,0,0
"BHARAT ACID,VAPI",,0,0
D.F.P.C.L.-TALOJA,,0,0
"DEEPAK NIT, NANDESARI",,0,0
GANESHKRUPA CHEM-VALSAD,,0,0
JAY PROCESS-ANKLESHWAR,,0,0
JINDAL STAILESS-HISAR,,0,0
KAKADIYA CHEM-ANK,,0,0
KAYRPEE VANIJYA PVT LTD - BASKA,,0,0
LASONS INDIA PVT LTD-TALOJA,,0,0
MAHESHWARI ACID & CHEM-BHILWARA,,0,0
MITTAL CHEM-JALESAR,,0,0
NAVDEEP ENT-SANAND,,0,0
NEW INDIA-NANDESARI,,0,0
NITREX CHEMICAL-JHAGADIA,,0,0
"PANOLI INT , NANDESARI",,0,0
PARISHRAM CHEMICALS-VAPI,,0,0
PUJA ENTERPRISES-ALIGARH,,0,0
R. P. INTERMADIATES-NANDESARI,,0,0
RAVESHIA COLOUR -VAPI,,0,0
RUCHI PETRO PLAST-DAHEJ,,0,0
SAINI CHEMICALS-ANKLESHWAR,,0,0
SHALIBHADRA INTERMEDIATES-ANK,,0,0
SHREE ANANDESHWAR ENT-KANPUR,,0,0
SHRI TIRUPATI ENT-ALIGARH,,0,0
SHYAM SEL & POWER LTD-PITHAMPUR,,0,0
SNJ CHEMPACK-ANKLESHWAR,,0,0
STANDARD CHEMTECH-CHHATRAL,,0,0
STAR CHEM INDIA-ANKLESHWAR,,0,0
STAR OXOCHEM-JHAGADIA,,0,0
SUKHA CHEMICALS IND UNIT-11-PANOLI,,0,0
TANAY INORGANIC PVT LTD-NAGPUR,,0,0
VOXCO PIGMENTS & CHEM-VAPI,,0,0
WESTERN DRUG LTD-UDAIPUR,,0,0
AEGIS VOPAK TERMINAL-PIPAVAV,,0,0
AROMATICS INDIA PVT LTD-UDAIPUR,,0,0
AVSL IND. LTD-BHIWADI,,0,0
AVSL IND-HALOL,,0,0
SHIVANAND IMPEX-UKKHARLA,,0,0
AEGIS VOPAK TERMINALS LTD -KANDLA,,0,0
ANKLESHWAR,,0,0
ANUPAM COLOURS & CHEM. IND-VAPI,,0,0
BANGLORE,,0,0
BASUDEV ENT-ALIGARH,,0,0
CHEMICAL ENTERPRISES-AKALTARA,,0,0
CHROMENI STEEL-KUTCH,,0,0
KUTCH SPECIALILITES PVT LTD,,0,0
MAHESHWARI ENT-ALIGARH,,0,0
RANKA ORGANICS-UDAIPUR,,0,0
RASAYAN UDYOG-DHANBAD,,0,0
SHREE KRISHNA ENT-ALIGARH,,0,0
SHRI TIRUPATI ENTERPRISES-ALIGARH,,0,0
SHRI KRISHNA ENT-JALESAR,,0,0
SNIGDHA BASIC CHEM-INDORE,,0,0
SONA SYNTH.PRODUCTS-VAPI,,0,0
STANDARD CHEMICAL-CHHATRAL,,0,0
SURYA FINE CHEM-ANK,,0,0
TANAY INORGANICS PVT. LTD-NAGPUR,,0,0
AGPL-PIPAVAV,,0,0
BANSAL PLASTIC-NEW DELHI,,0,0
SELF,,0,0
AGRIM CHEMTECH KHERA-DELHI,,0,0
SHREE RAM SOAP & DET-HARYANA,,0,0
AHIR SALT & ALLIED PRODUCTS-KANDLA,,0,0
VIKASH ACID-BHILWARA,,0,0
MEGHMANI DYES & INTER-DUDHWADA-PADRA,,0,0
"P.I. IND, PANOLI",,0,0
AHPL SURAT-HAZIRA,,0,0
INDAIN PHOS LTD-UDAIPUR,,0,0
AHUJA BARREL SUPPLY-ROHTAK,,0,0
A.D.IMPEX-INDOR,,0,0
BHARAT FEED-INDOR,,0,0
SHAH FOOD PRODUCT-SEHORE,,0,0
ALLIED CHEMICALS IND-JAMSHEDPUR,,0,0
PRAYAGRAJ POWER GEN.COMPANY LTD-ALLAHABAD,,0,0
AMAL SPECIALITY CHEM LTD-ANK,,0,0
"GAYATRI ACID & CHEM,CO.CHIKALI -PUNE",,0,0
VISHNU CHEMICAL-BHILAI,,0,0
AMARAVATI,,0,0
AMOL-ANKLESHWAR,,0,0
ARVEE LAB. (INDIA)-BHAVNAGAR,,0,0
"MADHU SIL,BHAVNAGAR",,0,0
AMOLI OPG. PVT LTD-PADRA,,0,0
SHREE CEMENT LTD-BEAWAR,,0,0
APARNA CARBONS PVT LTD (C.G.),,0,0
"COLOUR TEX,SURAT",,0,0
CONTINENTAL CARBON ECO -DAHEJ,,0,0
PCBL MUNDRA PLANT-(GUJ),,0,0
PHILLIPS CARBON BLACK LTD-PALEJ,,0,0
SURAT,,0,0
APARNA CARBONS PVT LTD-RAIPUR,,0,0
BALKRISHNA IND LTD-KUTCH,,0,0
"ARIHANT DET,DHULIA",,0,0
HINDUSTAN UNILEVER-SUMERPUR,,0,0
AROCHEM IND.LTD-VAPI,,0,0
GALAXY CHEMICALS-BALLARY,,0,0
AROMATIC ALLED & ORG.P.LTD-BHIWADI,,0,0
JYOTHY LABS-LTD-UTTARA KHAND,,0,0
AROMETIC-G DHAM-KUTCH,,0,0
A.A. ENTERPRISES-LUCKNOW (U.P.),,0,0
ALOK UDYOG SAMATI-KANPUR,,0,0
BEEKAY DET ERGENT-LUCKNOW,,0,0
J S MINCHEM-UDAIPUR,,0,0
JAY CHEMICAL WORKS-KANPUR,,0,0
JYOTI LABS LTD-PITHAMPUR,,0,0
KAMAL GRAM UDYOG SAMATI-KANPUR,,0,0
KANPUR,,0,0
KANPUR EDIBLES PVT LTD-KANPUR,,0,0
MADANDA TARA CHEM-AJMER,,0,0
PATANJALI AYURVED LTD-HARIDWAR,,0,0
PATEL PHOSCHEM-UDAIPUR,,0,0
RAJHAV SURFACTANTS PVT LTD-KANPUR,,0,0
RAJRATAN AROMATICS-UNNAO (U.P.),,0,0
RAMA PHOSPHATE LTD-UDAIPUR,,0,0
RAMA PHOSPHATE-CHITTOD,,0,0
SARA IND-SANAND-AMD.,,0,0
SHAMANI INDUSTRIES-INDORE,,0,0
SHREE DURGA GRAMODYOG SEWA SAMITI-KANPUR,,0,0
SUNRAKSHAK AGRO PROD. PVT LTD- BHILWARA,,0,0
TRANSWORLD F.P. PVT LTD-G.DHAM,,0,0
VIKAS GRAMUDYOG-KANPUR,,0,0
ARUN INDUSTRIAL PRODUCTS-KHEDA,,0,0
"BILT GRAPHIC,BALLARPUR",,0,0
ARUN INDUSTRIAL-VARSOLA,,0,0
UNICHEM-AKOLA,,0,0
ASHIAN OILS PVT LTD-(WEST BENGAL),,0,0
LAXMI OIL & DALL MILL-MORENA(MP),,0,0
ASHIAN OILS PVT LTD-KOLKATA,,0,0
SHRI BASANT ENT-INDORE,,0,0
SUMUKH PROTEINS KHARGONE,,0,0
ATUL LTD-VALSAD,,0,0
MAHADEVI CHEMICAL IND-THANE,,0,0
PARADEEP PHOS-GOA,,0,0
AVI AGRI BUSINESSLTD-INDORE,,0,0
SIDHARTH TRADING CO-JAIPUR,,0,0
AWL AGRI BUSINESS-HALDIA,,0,0
BARAMATI AGRO-JALGAON,,0,0
J.N.P.T-MUMBAI,,0,0
BARODA-GODOWN,,0,0
RIL-VADODARA,,0,0
BASP CHEMICAL PRODUCTS LTD-SILVASSA,,0,0
HARSH CHEMICALS-BALOTRA,,0,0
BEC CHEMICALS PVT LTD-RAIGAD,,0,0
BERI COLD STORAGE-RAIPUR,,0,0
CHENNAI,,0,0
CLARIANT CHEMICALS (INDIA) LTD-CUDDUALORE,,0,0
COIMBATORE PIONEER FER.LTD.TAMILNADU,,0,0
BHAGWATI IND-MAHASAMUND-(C.G),,0,0
FAIRCHEM ORG LTD-AMD,,0,0
BHILAI ENG. CORP. LTD-PULGAON,,0,0
RSPL-AURANGABAD,,0,0
BHILAL ENGINEERING CORP LTD-BILAPUR (C.G),,0,0
M.BHARAT -INDOR,,0,0
"MULTI ORG, CHANDRAPUR",,0,0
NTPC LTD-MOUDHA-NAGPUR,,0,0
O.P. MILLS-AMLIA- (M.P.),,0,0
BIRLA CARBON INDIA-PATELGANGA-RAIGAD,,0,0
ETHERIS PETROCHEM -WB-HOWRAH,,0,0
BIRLA CELLULOSIC-KOSAMBA,,0,0
GRASIM IND LTD-VILAYAT BHARUCH,,0,0
AARTI IND-BHACHAO,,0,0
AGRO PHOS INDIA LTD-MEGHNAGAR,,0,0
AMBUJA INTERMEDIATES-MEHSANA,,0,0
ANKITRAJ EXPORTTRADE-URAN,,0,0
ARIES COLOUR CHEM-DAHEJ,,0,0
BANKE BIHARI-BALOTRA,,0,0
BASANT AGRO-AKOLA,,0,0
BASANT AGRO-JALGOAN,,0,0
BEC FERTILIZERS LIMITED,,0,0
BHILWARA.,,0,0
BTPS-DEEPNAGAR,,0,0
CIL -NANDESARI,,0,0
CLAX PIGMENTS-KADGAON,,0,0
CRYSTAL IND-RAJKOT,,0,0
D.F.P.C.L.-DAHEJ,,0,0
D.J. SURFACTANTS-UDAIPUR,,0,0
DAHEJ,,0,0
DEEPTY LAB-BNGLOUR,,0,0
DEVAS,,0,0
DHANLAKSHMI BIOCHEM-AHMEDABAD,,0,0
DHANLAXMI IND -A.BAD,,0,0
"FENA LTD, SILVASSA",,0,0
GOKUL OVERSEAS-G.DHAM-KUTCH,,0,0
GFL-DAHEJ,,0,0
GFL-RANJITNAGAR,,0,0
GHARDA CHEM.DOMBIVALI,,0,0
GHARDA CHEMICALSLTD-LOTE,,0,0
GOA,,0,0
GSFC LTD. SIKKA UNIT,,0,0
GUJ.MULTI.GAS BASE CHEMICAL PVT LTD-MEHSANA,,0,0
H.N. ENT. NANDESARI,,0,0
HINDALCO IND LTD-(SINGRAULI-M.P.),,0,0
HINDALCO IND LTD-RENUSAGAR (U.P),,0,0
HINDALCO IND.LTD-RENUKOOT,,0,0
HZL-CHITTORGARH,,0,0
ICMC CORP LIMITED TRICHY-TAMIL NADU,,0,0
IFFCO-PHOOLPUR-ALLAHABAD,,0,0
INDIAN PESTICIDES LTD-SANDILA-HARDOI,,0,0
"INDOBOREX,PITHAMPUR",,0,0
INDORE,,0,0
JANKI AGRO PRODUCT-JETPUR,,0,0
JODHPUR,,0,0
JOTHI CHEMICAL(FOR.T.CHENDUR IND-METTURDAM,,0,0
K.C.F.L.-NIMABHAHRA,,0,0
KASHIRCHAND FERTILIZERS-WADASA,,0,0
KASTURCHAND FER.PVT LTD-WADASA(M.H),,0,0
KHAITAN CHEM & FER-DAHEJ,,0,0
KILBURN CHE LTD-DAHEJ,,0,0
KISAN SHAKTI FER & PESTICIDES .P. LTD-SAYKHA BHARUCH,,0,0
KRISHANA PHOSCHEM LIMITED-MEGHNAGAR,,0,0
LAXMI ACID & CHEMICALS MEHSANA,,0,0
"LAXMI AGRO,UDAIPUR",,0,0
M.B.AGRO PRODUCT-SAGAR,,0,0
M.BHARAT AGRO-SOURAI-BANDA,,0,0
M.BHARAT MEGHNAGAR,,0,0
M.BHARAT PRITAMPUR,,0,0
"M.BHARAT,MEGHANARAR",,0,0
M.N. CHEM. SHIRPUR-PUNE,,0,0
M.N.SURF-PUNE,,0,0
MADHAV INDUSTRIES-MEHSANA,,0,0
MAHESH RAJ CHEMICALS-AHMEDABAD,,0,0
MANGAL BIO-TECH-MANGALORE,,0,0
MANGALORE CHEM & FER-MANGALORE,,0,0
MANI AGRO CHEM PVT LTD-SALEM-TAMILNADU,,0,0
MAYUR DYE CHEM-PADRA,,0,0
MEGHMANI FINE CHEM-DAHEJ,,0,0
MEGHMANI NOVOTECH PVT LTD-BHARUCH,,0,0
"MMCPL,JHAGADIA",,0,0
N.T.P.C LTD-SOLAPUR,,0,0
NANDAN DENIM LTD-AHMEDABAD,,0,0
"NANDESARI UNIT,SELF",,0,0
NEW INDIA DETERGENT PVT LTD (MAHAD),,0,0
NIBHA POWER LTD-HISAR,,0,0
NTPC-KHARGONE (M.P.),,0,0
NTPC-UNCHAHAR,,0,0
PATANJALI FOOD- G.DHAM,,0,0
"PREM SAKHI,UDAIPUR",,0,0
PUNJAB CHEMICALS-PIMPRI-PUNE,,0,0
R.I.L.JAMNAGAR,,0,0
"R.M.PHOSPHATE,DHULIA",,0,0
R.M.PHOSPHATES-DEWAS(M.P),,0,0
R.S.P.L.-RAIPUR,,0,0
"RADHA MADHAV,SURAT",,0,0
RAJKOT,,0,0
RAJLAXMI AGROTECH INDIA PVT LTD.-JALNA,,0,0
RIL(SEZ)J.NAGAR,,0,0
RIL-DAHEJ,,0,0
RIL-HAZIRA-SURAT,,0,0
RIL-NAGOTHANE,,0,0
ROHITKUMAR TEXTILE MILLS-AHMEDABAD,,0,0
RSPL. LTD-ROURKEE,,0,0
"RUBAMIN,HALOL",,0,0
RUBAMIN-NANDESARI,,0,0
RUCHI SOYA IND-G.DHAM,,0,0
S.K.D.P.L.CHITTOR,,0,0
S.KRISHNA.SILVASSA,,0,0
SABARI AGRO CHEM-METTUR DAM,,0,0
SATPURA THERMAL POWER STATION-SARNI(M.P),,0,0
"SATYAM ENT,.UDAIPUR",,0,0
SATYENDRA FINE CHEM-PADRA,,0,0
SHCEL-MAHAD,,0,0
"SHIVA GLOBLE,NANDED",,0,0
SHREE CEMENT LTD - RAS,,0,0
SHREE HARI CHEMICALS-MAHAD-RAIGAD,,0,0
SHREE SHIV AGRO-BARODA,,0,0
SHREEJI AGRO PRODUCT-JETPUR,,0,0
