Route Name,Total Distance (km),Location (trip_steps),Distance (trip_steps),Location Type (trip_steps),Fuel Consumption Qty (Ltr.) (trip_steps)
3F INDUSTRIES LTD-A.P - - DEEP CHAND ARYA IND-NEW DELHI,0,3F INDUSTRIES LTD-A.P,,Loading Point,
,,DEEP CHAND ARYA IND-NEW DELHI,,Offloading Point,
A.P.L. BHUJ - - BIRLA-DAHEJ,0,A.P.L. BHUJ,,Loading Point,
,,BIRLA-DAHEJ,,Offloading Point,
A.P.L. BHUJ - - DEEPAK ACID & CHEM-KUTCH,0,A.P.L. BHUJ,,Loading Point,
,,DEEPAK ACID & CHEM-KUTCH,,Offloading Point,
A.P.L. BHUJ - - HZL-DARIBA,0,A.P.L. BHUJ,,Loading Point,
,,HZL-DARIBA,,Offloading Point,
AADITYAA PROTEIN-NAGPUR - - PANKAJ IMPEX-RAJNANDGAON,0,AADITYAA PROTEIN-NAGPUR,,Loading Point,
,,PANKAJ IMPEX-RAJNANDGAON,,Offloading Point,
AAK INDIA PVT-KHOPOLI. (M.H.) - - CHEMEX OIL-SOLAN-BADDI,0,AAK INDIA PVT-KHOPOLI. (M.H.),,Loading Point,
,,CHEMEX OIL-SOLAN-BADDI,,Offloading Point,
AAP CHEM PVT LTD-BRD - - SUPER ACID & CHEMICAL-DELHI,0,AAP CHEM PVT LTD-BRD,,Loading Point,
,,SUPER ACID & CHEMICAL-DELHI,,Offloading Point,
AAP CHEM-SAYAKHA-BHARUCH - - ASIAN CHEMICALS-JODHPUR,0,AAP CHEM-SAYAKHA-BHARUCH,,Loading Point,
,,ASIAN CHEMICALS-JODHPUR,,Offloading Point,
AARTI IND.-JHAGADIA - - BLUE PHOSPHATE LTD-UDAIPUR,0,AARTI IND.-JHAGADIA,,Loading Point,
,,BLUE PHOSPHATE LTD-UDAIPUR,,Offloading Point,
AARTI IND.-JHAGADIA - - M.B.AGRO.PROD.LTD-SAGAR,0,AARTI IND.-JHAGADIA,,Loading Point,
,,M.B.AGRO.PROD.LTD-SAGAR,,Offloading Point,
AARTI IND.-JHAGADIA - - SHREE PUSHKAR PHOS CHEM-UDAIPUR,0,AARTI IND.-JHAGADIA,,Loading Point,
,,SHREE PUSHKAR PHOS CHEM-UDAIPUR,,Offloading Point,
AARTI IND.-JHAGADIA - - UDAIPUR UNIT,0,AARTI IND.-JHAGADIA,,Loading Point,
,,UDAIPUR UNIT,,Offloading Point,
AARTISURFACT-ANTS-SILVASSA - - AHMEDABAD,0,AARTISURFACT-ANTS-SILVASSA,,Loading Point,
,,KEMIT CHEMICALS PVT LTD-AHMEDABAD,,Offloading Point,
ABHISHEK CHEMICAL PANOLI-ANK - - M.BHARAT AGRO-SAGAR(M.P),0,ABHISHEK CHEMICAL PANOLI-ANK,,Loading Point,
,,M.BHARAT AGRO-SAGAR(M.P),,Offloading Point,
ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR - - NEEV BIOCHEM PVT. LTD.-PUNE,0,ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR,,Loading Point,
,,NEEV BIOCHEM PVT. LTD.-PUNE,,Offloading Point,
ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR - - PUNE-(M.H.),0,ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR,,Loading Point,
,,PUNE-(M.H.),,Offloading Point,
ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR - - SAP OLEO CHEM PVT LTD-KURKUMBH-M.H,0,ABIS EXPORT(INDIA)PVT.LTD.-RAIPUR,,Loading Point,
,,SAP OLEO CHEM PVT LTD-KURKUMBH-M.H,,Offloading Point,
ADANI HAZIRA-SURAT - - BIRLA-DAHEJ,0,ADANI HAZIRA-SURAT,,Loading Point,
,,BIRLA-DAHEJ,,Offloading Point,
"ADANI HAZIRA-SURAT - - GNFC,. BHARUCH",0,ADANI HAZIRA-SURAT,,Loading Point,
,,"GNFC,. BHARUCH",,Offloading Point,
ADANI HAZIRA-SURAT - - GODHREJ CONSUMER PRODUCTS-MALANPUR(M.P),0,ADANI HAZIRA-SURAT,,Loading Point,
,,GODHREJ CONSUMER PRODUCTS-MALANPUR(M.P),,Offloading Point,
ADANI HAZIRA-SURAT - - INDIAN PHOS LTD-UDAIPUR,0,ADANI HAZIRA-SURAT,,Loading Point,
,,INDIAN PHOS LTD-UDAIPUR,,Offloading Point,
ADANI PETROCHEMICAL-KANDLA - - ARORA POLYFAB INDIA-BAHADURGARH,0,ADANI PETROCHEMICAL-KANDLA,,Loading Point,
,,ARORA POLYFAB INDIA-BAHADURGARH,,Offloading Point,
ADANI PETROCHEMICAL-KANDLA - - ZELIANT INDUSTRIES,0,ADANI PETROCHEMICAL-KANDLA,,Loading Point,
,,ZELIANT INDUSTRIES,,Offloading Point,
ADANI POWER-JHARKHAND - - DISCON SALES PVT. LTD-HOWRAH,0,ADANI POWER-JHARKHAND,,Loading Point,
,,DISCON SALES PVT. LTD-HOWRAH,,Offloading Point,
ADANI WILMAR LTD-HALDIA(W.B) - - GODHREJ CONSUMER PRODUCTS-MALANPUR(M.P),0,ADANI WILMAR LTD-HALDIA(W.B),,Loading Point,
,,GODHREJ CONSUMER PRODUCTS-MALANPUR(M.P),,Offloading Point,
ADANI WILMAR LTD-HALDIA(W.B) - - VIJAY SOLVEX LTD-ALWAR,0,ADANI WILMAR LTD-HALDIA(W.B),,Loading Point,
,,VIJAY SOLVEX LTD-ALWAR,,Offloading Point,
ADANI WILMAR LTD-HAZIRA - - SAP OLEO CHEM PVT LTD-KURKUMBH-M.H,0,ADANI WILMAR LTD-HAZIRA,,Loading Point,
,,SAP OLEO CHEM PVT LTD-KURKUMBH-M.H,,Offloading Point,
ADANI WILMAR LTD-MUNDRA - - SHREENIDHI OIL & FOODS-INDORE,0,ADANI WILMAR LTD-MUNDRA,,Loading Point,
,,SHREENIDHI OIL & FOODS-INDORE,,Offloading Point,
ADANI-MUNDRA - - INDIAN PHOS LTD-UDAIPUR,0,ADANI-MUNDRA,,Loading Point,
,,INDIAN PHOS LTD-UDAIPUR,,Offloading Point,
AEGIS VOPAK TERMI-HALDIA - - JAJPUR,0,AEGIS VOPAK TERMI-HALDIA,,Loading Point,
,,JAJPUR,,Offloading Point,
"AEGIS VOPAK TERMI-HALDIA - - JINDAL ST.STEEL-JAJPUR,ORISSA",0,AEGIS VOPAK TERMI-HALDIA,,Loading Point,
,,"JINDAL ST.STEEL-JAJPUR,ORISSA",,Offloading Point,
AEGIS VOPAK TERMINAL LTD-HALDIA - - JINDALSTAINLESS LTD-ODISHA,0,AEGIS VOPAK TERMINAL LTD-HALDIA,,Loading Point,
,,JINDALSTAINLESS LTD-ODISHA,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-HALDIA - - NAGPUR,0,AEGIS VOPAK TERMINAL LTD-HALDIA,,Loading Point,
,,NAGPUR,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-HALDIA - - RUDRAKSHA ALLIED CHEM PVT LTD-NAGPUR (M.H),0,AEGIS VOPAK TERMINAL LTD-HALDIA,,Loading Point,
,,RUDRAKSHA ALLIED CHEM PVT LTD-NAGPUR (M.H),,Offloading Point,
AEGIS VOPAK TERMINAL LTD-HALDIA - - SHIVAM NITRATE PVT LTD.-NAGPUR,0,AEGIS VOPAK TERMINAL LTD-HALDIA,,Loading Point,
,,SHIVAM NITRATE PVT LTD.-NAGPUR,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-KANDLA - - A.R.BHANDARI-INDORE,0,AEGIS VOPAK TERMINAL LTD-KANDLA,,Loading Point,
,,A.R.BHANDARI-INDORE,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-KANDLA - - AAP CHEM-SAYAKHA-BHARUCH,0,AEGIS VOPAK TERMINAL LTD-KANDLA,,Loading Point,
,,AAP CHEM-SAYAKHA-BHARUCH,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-KANDLA - - ABHISHEK ACID & CHEM-BHILWARA,0,AEGIS VOPAK TERMINAL LTD-KANDLA,,Loading Point,
,,ABHISHEK ACID & CHEM-BHILWARA,,Offloading Point,
AEGIS VOPAK TERMINAL LTD-KANDLA - - ACCOOCIATED DYESTUFF-SAYKHA,0,AEGIS VOPAK TERMINAL LTD-KANDLA,,Loading Point,
,,ACCOOCIATED DYESTUFF-SAYKHA,,Offloading Point,
