ID,Description,"Location (Latitude, Longitude)",Is Local Border,Is International Border
Bharuch Industrial Tank Farm,Bharuch Industrial Tank Farm,,0,0
Nagothane Chemical Complex,Nagothane Chemical Complex,,0,0
Sanand Specialty Park,Sanand Specialty Park,,0,0
Hazira Bulk Terminal,Hazira Bulk Terminal,,0,0
Panipat Process Plant,Panipat Process Plant,,0,0
Vadodara Chlor Alkali Depot,Vadodara Chlor Alkali Depot,,0,0
Pithampur Chemical Hub,Pithampur Chemical Hub,,0,0
Jhagadia Industrial Estate,Jhagadia Industrial Estate,,0,0
Nova Taloja Tank Farm,Nova Taloja Tank Farm,,0,0
Apex Chlorochem Dahej Plant,Apex Chlorochem Dahej Plant,,0,0
